"콘텐츠 ID
","사용유무
",화장실명,"서브카테고리 명
","시군
","구명
","새주소[도로명 주소]
",지번주소,키워드,"다국어
",경도,위도,"공간객체타입
","라인 색상
","라인 패턴
","라인두께
","전화번호
","웹URL
","동영상 웹 링크 URL
","음성파일 웹 링크 URL
","사진 정보1[URL or 파일명]
","사진 정보2[URL or 파일명]
","사진 정보3[URL or 파일명]
","사진 정보4[URL or 파일명]
","사진 정보5[URL or 파일명]
","상세 제목1
","상세 내용1
","상세 제목2
","상세 내용2
","상세 제목3
","상세 내용3
","상세 제목4
","상세 내용4
","상세 제목5
","상세 내용5
","상세 제목6
","상세 내용6
","상세 제목7
","상세 내용7
","상세 제목8
","상세 내용8
","상세 제목9
","상세 내용9
","상세 제목10
","상세 내용10
","상세 제목11
","상세 내용11
","상세 제목12
","상세 내용12
","상세 제목13
","상세 내용13
","상세 제목14
","상세 내용14
","상세 제목15
","상세 내용15
","상세 제목16
","상세 내용16
","상세 제목17
","상세 내용17
","상세 제목18
","상세 내용18
","상세 제목19
","상세 내용19
","상세 제목20
","상세 내용20
","시계열 시작 일자
","시계열 종료 일자
"
testgu09-0017,Y,미아지구대,,,강북구,도봉로 127,강북구 미아동 327-1,,KOR,127.028265783,37.620154692,1,#0000FF,,,944-4116,,,,,,,,,시설구분,공공기관,개방시간,24시,변기현황,남녀공용: 대변기1 소변기1(장애인 공용 사용 가능),기타설비,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testgu09-0015,Y,강북경찰서 화장실(본관 1층),상시,,강북구,오패산로 406,강북구 번동 415-15,,KOR,127.027308394,37.637437605,1,#0000FF,,,944-4432,,,,,,,,,시설구분,공공기관,개방시간,24시간,변기현황,남자: 대변기3 소변기4 / 여자: 대변기3 / 장애인화장실(남녀구분),기타시설,화장실 입구 CCTV 설치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testgu09-0014,Y,강북중학교 앞 공중화장실,상시,,강북구,도봉로101길 71,강북구 수유동 647-2,,KOR,127.027460444,37.644860583,1,#0000FF,,,02-901-6773,,,,,,,,,상세위치,쌍한교 옆,시설구분,공중화장실,개방시간,24시간,변기현황,남자: 대변기1 소변기1 / 여자; 대변기2(재래식1 서양식1),기타설비,비상벨 설치(여자3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testgu09-0013,Y,강북소방서 앞 공중화장실,상시,,강북구,한천로109길 10,강북구 번동 612-3,,KOR,127.043925742,37.629032532,1,#0000FF,,,02-901-6773,,,,,,,,,상세위치,강북소방서 건너편,시설구분,공중화장실,개방시간,24시간,변기현황,남자: 대변기2 소변기2 / 여자: 대변기3,기타설비,비상벨 설치(여자4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testgu09-0012,Y,번동 가로공원 공중화장실,상시,,강북구,한천로109길 10,강북구 번동 612-3,,KOR,127.043925742,37.629032532,1,#0000FF,,,02-901-6773,,,,,,,,,상세위치,"우이천변 초안교 옆, 강북구민운동장사거리 측",시설구분,공중화장실,개방시간,24시간,변기현황,남자: 대변기2 소변기3 / 여자: 대변기3 / 장애인화장실(남녀공용),기타시설,비상벨 설치(장애인2 여자4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testgu09-0011,Y,우이동 교통광장 공중화장실,상시,,강북구,삼양로 672,강북구 우이동 5-1,,KOR,127.013189377,37.662850174,1,#0000FF,,,02-901-6773,,,,,,,,,시설구분,공중화장실,개방시간,24시간,변기현황,남자: 대변기2 소변기3 / 여자: 대변기3 / 장애인(남녀공용),기타설비,"비상벨 설치(장애인2, 여자4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restsa10_0035,Y,신논현역 화장실(9호선),정시,,강남구,봉은사로 지하102,강남구 역삼동,,KOR,127.025015120,37.504633176,1,#0000FF,L,0,02-901-0925,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0034,Y,사평역 화장실(9호선),정시,,서초구,사평대로 지하285,서초구 반포동,,KOR,127.015419207,37.504158243,1,#0000FF,L,,02-901-0924,,,,,,,,,유형,공공개방,개방시간,"평일 5:32~00:56
토요일 5:33~00:00
휴일 5:33~23:52",소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0033,Y,고속터미널역 화장실(안전관리실 옆),정시,,서초구,신반포로 지하188,서초구 반포동,,KOR,127.003822219,37.504898855,1,#0000FF,L,,02-901-0923,,,,,,,,,유형,공공개방,개방시간,"평일 5:35~00:53
토요일 5:36~23:54
일요일 5:36~23:54",소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0032,Y,고속터미널역 화장실(4번출구)),정시,,서초구,신반포로 지하188,서초구 반포동,,KOR,127.003822219,37.504898855,1,#0000FF,L,0,02-901-0923,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0031,Y,고속터미널역 화장실(1번출구),정시,,서초구,신반포로 지하188,서초구 반포동,,KOR,127.003822219,37.504898855,1,#0000FF,L,,02-901-0923,,,,,,,,,유형,공공개방,개방시간,"평일 5:35~00:53
토요일 5:36~23:54
일요일 5:36~23:54",소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
